iter	Logloss
0	0.6698023129
1	0.6506523508
2	0.6318800361
3	0.6137910867
4	0.6015538141
5	0.5870468787
6	0.5761100507
7	0.5649497358
8	0.5549828483
9	0.5450474048
10	0.535362534
11	0.525723003
12	0.5206679395
13	0.5153273641
14	0.5100266977
15	0.5039070575
16	0.499545231
17	0.4949333961
18	0.4912707154
19	0.4856807924
20	0.4819205173
21	0.4781252776
22	0.4753033517
23	0.4717529993
24	0.467131926
25	0.4642648691
26	0.46161843
27	0.4595923868
28	0.4570613879
29	0.4548987928
30	0.4533074599
31	0.4504181727
32	0.448437834
33	0.4458824067
34	0.4440000772
35	0.4423317743
36	0.4409885826
37	0.4390413967
38	0.4368408061
39	0.4344599478
40	0.4330841809
41	0.4318318684
42	0.4307704514
43	0.4294833794
44	0.428541279
45	0.427165503
46	0.4260950127
47	0.4249183232
48	0.4239715231
49	0.4232931549
50	0.4222733724
51	0.4213766464
52	0.4202373461
53	0.4193406589
54	0.4181714677
55	0.4173972055
56	0.4163897969
57	0.4155697017
58	0.414732701
59	0.4141338854
60	0.4122257401
61	0.4116317828
62	0.4109193587
63	0.4094522881
64	0.4087256294
65	0.4082369679
66	0.4075702166
67	0.4069692536
68	0.4056730413
69	0.4049738839
70	0.404481888
71	0.4031486481
72	0.4025695359
73	0.4021083318
74	0.4010654693
75	0.4003595296
76	0.3997804214
77	0.3993100989
78	0.398926377
79	0.3985145496
80	0.3981885499
81	0.397799701
82	0.3971144852
83	0.3968170991
84	0.3964277543
85	0.39589339
86	0.3953820786
87	0.3949920874
88	0.3946847352
89	0.3944646002
90	0.3939238436
91	0.3933746926
92	0.3930128783
93	0.3927213675
94	0.3921686112
95	0.3917000451
96	0.3912777231
97	0.3909747826
98	0.3904620757
99	0.3895979932
100	0.3891493253
101	0.3888445642
102	0.3883759849
103	0.3879511737
104	0.3871532608
105	0.3867463961
106	0.3864306865
107	0.3860339649
108	0.3856441028
109	0.3849789359
110	0.3847634901
111	0.3844653056
112	0.3841946163
113	0.3839629897
114	0.3836677583
115	0.383514814
116	0.3831967718
117	0.3829321829
118	0.3823212245
119	0.3820946783
120	0.3818020879
121	0.3814813992
122	0.3812021616
123	0.3808298446
124	0.3805163936
125	0.379952872
126	0.3796103996
127	0.3792221144
128	0.3788774436
129	0.3786255089
130	0.3782703155
131	0.3776262985
132	0.3774625897
133	0.3771458278
134	0.376845615
135	0.3766689424
136	0.3763173783
137	0.3760749306
138	0.3758628205
139	0.3757130807
140	0.375518861
141	0.3752955989
142	0.3748204134
143	0.3746373794
144	0.3743983389
145	0.3741967388
146	0.37377821
147	0.373481203
148	0.3732545598
149	0.3730435827
150	0.3729093155
151	0.3726761388
152	0.372483796
153	0.3722831885
154	0.3718551988
155	0.3715672965
156	0.3710666124
157	0.3708405514
158	0.3705172503
159	0.3702408625
160	0.3700743052
161	0.3697088735
162	0.3693431369
163	0.3689432346
164	0.368745623
165	0.3685420673
166	0.3683707402
167	0.3681071198
168	0.3677197427
169	0.3675844736
170	0.3671348145
171	0.3668998443
172	0.3667504906
173	0.3664084104
174	0.3660089464
175	0.365560179
176	0.365333584
177	0.3649091377
178	0.3645384127
179	0.3642821072
180	0.3638220899
181	0.3636356169
182	0.363451771
183	0.3632954284
184	0.3630365775
185	0.3627853362
186	0.3624575698
187	0.3623010641
188	0.3619458625
189	0.3617896112
190	0.3614710122
191	0.3612677417
192	0.3609569948
193	0.3607327975
194	0.3604415977
195	0.3602470909
196	0.3600266399
197	0.3597203421
198	0.3594766307
199	0.3591430506
200	0.3590098481
201	0.3587803023
202	0.3584435409
203	0.3581709339
204	0.3580239295
205	0.3579087744
206	0.3577261951
207	0.3574476261
208	0.3571013026
209	0.356809654
210	0.3564512914
211	0.3562309252
212	0.3559518048
213	0.3555493693
214	0.3553370075
215	0.3552197386
216	0.3549534125
217	0.3547864315
218	0.35465773
219	0.3544025374
220	0.3543154699
221	0.3541186773
222	0.354037431
223	0.3538804126
224	0.3535377113
225	0.3533923835
226	0.3532651825
227	0.3529842243
228	0.3527697005
229	0.3525955739
230	0.3522618403
231	0.3518013451
232	0.35135377
233	0.3511572786
234	0.3508213518
235	0.35058552
236	0.3504148376
237	0.3503213743
238	0.3500431362
239	0.3497100325
240	0.3494092852
241	0.3492435373
242	0.3488438693
243	0.3486068555
244	0.3483232673
245	0.3480252244
246	0.3477559971
247	0.3475902521
248	0.3472502867
249	0.3468848659
250	0.3464640052
251	0.3462064712
252	0.3460463866
253	0.3457828703
254	0.3454886499
255	0.3451248188
256	0.3445061415
257	0.3443500134
258	0.3441071102
259	0.3438166255
260	0.3435420879
261	0.3432730888
262	0.3431320923
263	0.3429622153
264	0.3428500223
265	0.3426049004
266	0.3424848165
267	0.3422488507
268	0.3418891608
269	0.3417400807
270	0.3414833316
271	0.3411743819
272	0.3408429568
273	0.3406048603
274	0.3400542297
275	0.3399153731
276	0.3398006753
277	0.3395405516
278	0.3393015162
279	0.339068053
280	0.338892639
281	0.3386289436
282	0.3384318192
283	0.3382252039
284	0.3380594485
285	0.3377349486
286	0.337459521
287	0.3371756012
288	0.3370124819
289	0.336819937
290	0.3366873533
291	0.3364565329
292	0.3364036236
293	0.3362416432
294	0.3360722511
295	0.3359517937
296	0.3357099739
297	0.3355003562
298	0.3351990663
299	0.3350047317
