iter	Passed	Remaining
0	1	490
1	3	535
2	6	645
3	8	623
4	10	590
5	11	576
6	13	562
7	15	556
8	16	545
9	18	536
10	20	530
11	22	529
12	23	524
13	25	521
14	27	519
15	29	518
16	31	517
17	32	514
18	34	510
19	36	508
20	38	508
21	39	505
22	41	500
23	43	497
24	45	495
25	46	493
26	48	490
27	50	487
28	51	484
29	53	482
30	55	480
31	57	477
32	58	474
33	60	472
34	62	472
35	64	470
36	65	468
37	67	465
38	69	463
39	71	462
40	73	461
41	74	458
42	76	456
43	78	454
44	79	451
45	81	450
46	83	448
47	85	446
48	86	444
49	88	443
50	90	441
51	92	439
52	93	437
53	95	436
54	97	434
55	99	432
56	100	430
57	102	428
58	104	426
59	106	425
60	108	423
61	109	422
62	111	420
63	113	418
64	115	416
65	117	415
66	118	413
67	120	411
68	122	410
69	124	408
70	125	406
71	127	404
72	129	402
73	131	400
74	132	398
75	134	396
76	136	395
77	138	393
78	139	391
79	141	389
80	143	387
81	145	385
82	146	383
83	148	383
84	150	381
85	152	380
86	154	378
87	156	376
88	158	374
89	159	372
90	161	370
91	163	368
92	164	367
93	166	365
94	168	363
95	170	361
96	171	359
97	173	357
98	175	356
99	177	354
100	178	352
101	180	351
102	182	349
103	184	347
104	185	345
105	188	344
106	189	342
107	191	340
108	193	338
109	195	337
110	196	335
111	198	333
112	200	331
113	202	329
114	203	328
115	205	326
116	207	324
117	209	323
118	211	321
119	213	319
120	214	317
121	216	315
122	218	314
123	220	312
124	221	310
125	223	308
126	225	306
127	226	304
128	228	303
129	230	301
130	232	299
131	233	297
132	235	296
133	237	294
134	239	292
135	241	290
136	242	288
137	244	286
138	246	285
139	247	283
140	249	281
141	251	279
142	253	278
143	254	276
144	256	274
145	258	272
146	259	270
147	261	268
148	263	266
149	265	265
150	266	263
151	268	261
152	270	260
153	272	258
154	273	256
155	275	254
156	277	252
157	279	250
158	280	249
159	282	247
160	284	245
161	286	243
162	288	242
163	289	240
164	291	238
165	293	236
166	294	234
167	296	233
168	298	231
169	300	229
170	302	227
171	303	226
172	305	224
173	307	222
174	309	220
175	311	219
176	312	217
177	314	215
178	316	213
179	318	212
180	319	210
181	321	208
182	323	206
183	325	205
184	327	203
185	328	201
186	330	199
187	332	198
188	334	196
189	336	194
190	338	192
191	339	191
192	341	189
193	343	187
194	345	185
195	346	184
196	348	182
197	350	180
198	352	178
199	354	177
200	355	175
201	357	173
202	359	171
203	360	169
204	362	168
205	364	166
206	366	164
207	368	162
208	369	161
209	371	159
210	373	157
211	375	156
212	377	154
213	379	152
214	381	150
215	383	149
216	385	147
217	387	145
218	388	143
219	390	141
220	392	140
221	393	138
222	395	136
223	397	134
224	399	133
225	401	131
226	403	129
227	404	127
228	406	126
229	408	124
230	410	122
231	411	120
232	413	118
233	415	117
234	417	115
235	419	113
236	420	111
237	422	110
238	424	108
239	426	106
240	428	104
241	429	103
242	431	101
243	433	99
244	435	97
245	436	95
246	438	94
247	440	92
248	441	90
249	443	88
250	445	86
251	447	85
252	449	83
253	450	81
254	452	79
255	454	78
256	456	76
257	457	74
258	459	72
259	461	70
260	463	69
261	465	67
262	467	65
263	469	63
264	471	62
265	472	60
266	474	58
267	476	56
268	478	55
269	480	53
270	482	51
271	484	49
272	486	48
273	487	46
274	489	44
275	491	42
276	493	40
277	495	39
278	497	37
279	499	35
280	501	33
281	502	32
282	504	30
283	506	28
284	508	26
285	510	24
286	511	23
287	513	21
288	515	19
289	517	17
290	519	16
291	520	14
292	522	12
293	524	10
294	526	8
295	527	7
296	529	5
297	531	3
298	533	1
299	534	0
